,Price,Mileage,Year,EngSize,Power
2,9750.0,209214.2,2015,1.4,75.0
3,36995.0,150.0,2022,1.0,110.0
4,16950.0,45685.0,2017,1.2,90.0
5,21950.0,101567.0,2019,2.0,102.0
6,10000.0,170000.0,2013,1.6,105.0
7,11995.0,90886.0,2014,1.6,105.0
10,7500.0,170000.0,2013,1.2,75.0
11,30450.0,77451.0,2019,2.0,150.0
13,8700.0,96364.06052,2014,1.0,75.0
15,9750.0,304551.5016,2014,2.0,140.0
16,12950.0,167000.0,2015,1.2,90.0
17,33500.0,83200.0,2019,2.0,150.0
18,46950.0,24700.0,2019,2.0,150.0
21,35950.0,114001.0,2019,2.0,150.0
23,33500.0,101500.0,2018,2.0,184.0
24,33950.0,110000.0,2017,2.0,150.0
25,26950.0,143600.0,2016,2.0,150.0
26,26500.0,130600.0,2017,2.0,115.0
27,33995.0,57260.3172,2019,2.0,150.0
28,24300.0,53000.0,2019,1.0,115.0
29,7800.0,293000.0,2012,2.0,110.0
30,9400.0,81231.4365,2012,1.2,70.0
32,12650.0,206100.0,2015,1.6,105.0
34,26995.0,90250.0,2018,2.0,115.0
35,23500.0,39925.0,2018,1.0,115.0
36,15950.0,193120.8,2015,2.0,140.0
37,11500.0,201168.0,2013,1.2,85.0
38,17750.0,39977.0,2016,1.2,85.0
39,27000.0,34784.0,2019,1.0,115.0
41,20995.0,148201.0,2018,1.6,120.0
43,8000.0,90000.0,2011,1.6,105.0
44,9995.0,187684.44948,2013,1.6,105.0
45,17400.0,44500.0,2019,1.0,80.0
48,29995.0,60633.0,2018,2.0,115.0
50,27999.0,61154.92,2020,1.5,150.0
51,33950.0,64000.0,2018,2.0,115.0
52,19945.0,13600.0,2020,1.0,80.0
54,14650.0,141275.0,2015,1.6,120.0
55,17450.0,106828.0,2016,1.2,85.0
57,18499.0,149668.62,2016,2.0,184.0
58,10950.0,80467.0,2012,1.2,85.0
59,11250.0,96560.4,2014,1.2,60.0
60,19999.0,131998.0,2017,2.0,150.0
61,13499.0,62294.0,2016,1.0,60.0
62,27950.0,177027.4,2017,2.0,150.0
63,22450.0,106002.0,2015,1.4,90.0
66,13950.0,84001.0,2013,1.4,105.0
68,29950.0,49000.0,2019,2.0,150.0
69,23950.0,10.0,2022,1.0,95.0
71,14250.0,98000.0,2014,1.6,105.0
72,43495.0,58384.0,2020,2.0,150.0
73,7799.0,155000.0,2011,1.6,105.0
74,26495.0,89888.07636,2019,1.6,115.0
75,15950.0,175418.06,2015,1.6,110.0
78,7600.0,225700.0,2011,1.6,105.0
79,12999.0,87308.0,2015,1.4,75.0
80,27000.0,68892.0,2018,2.0,150.0
81,42850.0,32484.0,2021,1.4,218.0
82,16750.0,75195.0,2015,1.2,85.0
83,31900.0,69169.4332,2018,2.0,150.0
84,17950.0,26000.0,2019,1.0,65.0
87,13950.0,193120.8,2016,1.6,115.0
88,16900.0,152536.0,2016,1.6,120.0
89,22000.0,138403.24,2016,2.0,184.0
91,31995.0,22500.0,2021,1.0,110.0
93,17000.0,231744.96,2015,2.0,184.0
94,14950.0,166501.0,2016,1.6,110.0
95,13250.0,209214.2,2016,2.0,150.0
96,9700.0,192000.0,2013,1.6,105.0
97,17950.0,61643.0,2017,1.0,85.0
98,10850.0,104607.1,2014,1.2,60.0
99,21800.0,117975.0,2019,2.0,150.0
100,12950.0,190266.0,2014,1.6,105.0
101,10750.0,178374.41758,2012,1.6,105.0
104,11999.0,100805.0,2013,1.2,105.0
107,14500.0,144000.0,2015,2.0,140.0
110,14900.0,169785.37,2015,1.6,110.0
111,13250.0,43452.18,2015,1.2,90.0
120,7300.0,236223.75322,2013,2.0,140.0
121,18900.0,125000.0,2018,1.6,115.0
122,6950.0,330962.0,2012,2.0,170.0
123,32950.0,135000.0,2018,2.0,150.0
124,11950.0,247838.36,2014,2.0,177.0
125,10495.0,262.0,2014,1.6,105.0
129,9900.0,225307.6,2013,2.0,140.0
130,21950.0,99999.0,2019,1.6,115.0
135,14950.0,226921.76802,2015,2.0,110.0
136,30950.0,103000.0,2017,2.0,150.0
137,12950.0,157715.32,2012,2.0,140.0
138,14450.0,149668.62,2013,2.0,110.0
139,33950.0,64000.0,2018,2.0,115.0
140,19950.0,90000.0,2018,1.0,85.0
141,22950.0,148000.0,2016,2.0,184.0
142,35995.0,21016.0,2021,2.0,150.0
144,30990.0,98000.0,2017,2.0,150.0
145,15995.0,80265.0,2019,1.0,65.0
150,16950.0,173799.0,2013,2.0,140.0
151,9995.0,209336.50984,2013,1.6,105.0
153,12950.0,204386.0,2013,2.0,140.0
163,12500.0,200000.0,2018,1.6,115.0
164,7750.0,249448.0,2012,1.2,75.0
165,30850.0,10706.0,2021,1.5,130.0
166,46400.0,19186.0,2020,2.0,150.0
167,22750.0,132948.0,2018,1.6,120.0
169,11950.0,126002.0,2013,1.2,85.0
170,18950.0,53869.0,2019,1.0,65.0
171,24500.0,83194.8313,2016,2.0,184.0
172,5750.0,234963.63999999998,2011,2.0,170.0
173,10949.0,151579.0,2012,1.2,105.0
175,37900.0,113823.0,2019,2.0,150.0
179,12995.0,193000.0,2014,1.6,105.0
180,7850.0,228000.0,2012,1.6,105.0
181,16500.0,156000.0,2016,1.6,120.0
182,18850.0,134000.0,2017,1.6,90.0
186,19950.0,109002.0,2016,1.4,150.0
189,15000.0,116000.0,2016,1.6,120.0
191,10995.0,235386.89642,2014,1.6,105.0
192,26950.0,56000.0,2017,2.0,150.0
193,33950.0,62000.0,2019,2.0,150.0
194,35950.0,39850.0,2019,1.0,115.0
